time/training,"evaluation/target_[6000, 6000]_return_mean","evaluation/target_[6000, 6000]_return_std","evaluation/target_[6000, 6000]_returnR1_mean","evaluation/target_[6000, 6000]_returnR1_std","evaluation/target_[6000, 6000]_returnR2_mean","evaluation/target_[6000, 6000]_returnR2_std","evaluation/target_[6000, 6000]_length_mean","evaluation/target_[6000, 6000]_length_std","evaluation/target_[3000, 3000]_return_mean","evaluation/target_[3000, 3000]_return_std","evaluation/target_[3000, 3000]_returnR1_mean","evaluation/target_[3000, 3000]_returnR1_std","evaluation/target_[3000, 3000]_returnR2_mean","evaluation/target_[3000, 3000]_returnR2_std","evaluation/target_[3000, 3000]_length_mean","evaluation/target_[3000, 3000]_length_std",time/total,time/evaluation,training/train_loss_mean,training/train_loss_std,training/action_error
0.6062946319580078,-41.395788987839126,1.0386657305844054,10.992332975453234,1.0430338374437766,-52.38812196329235,0.004418657305037933,1000.0,0.0,-79.59952659264275,1.3749505431609312,-4.824405341894109,1.3913617986140254,-74.77512125074864,0.016415458292862315,1000.0,0.0,71.62826752662659,71.0218493938446,0.7715568542480469,0.0009351372718811035,0.772491991519928
1.186107873916626,-40.865681556253904,1.3154014513393906,11.523006396502975,1.3210477934259601,-52.38868795275687,0.005677275601461595,1000.0,0.0,-79.65374377547619,0.8880760369897895,-4.8803533325981325,0.8986720076926322,-74.77339044287804,0.010600179744912981,1000.0,0.0,148.17895650863647,75.36436295509338,0.7597858309745789,0.0011670589447021484,0.760952889919281
1.5330688953399658,-41.347558217989786,0.3616686816423385,11.036442552534359,0.3634643982978565,-52.38400077052414,0.0018532199378426312,1000.0,0.0,-79.20455548036719,1.122865494388835,-4.427534858173392,1.1364284568495968,-74.7770206221938,0.013566133033777144,1000.0,0.0,214.71979689598083,65.00763177871704,0.769433856010437,0.006093263626098633,0.7755271196365356
0.9288022518157959,-41.2906456059983,0.7744043003156875,11.089740721357781,0.7780971442982995,-52.38038632735608,0.0037215017559203167,1000.0,0.0,-79.47310428242649,1.1682975914285947,-4.701341330217984,1.1821458591545364,-74.7717629522085,0.01385187429097072,1000.0,0.0,280.83021426200867,65.18146133422852,0.7683185636997223,0.006038099527359009,0.7743566632270813
0.8895540237426758,-41.10719486909967,0.8972996977699228,11.269074402423062,0.9012058604951707,-52.37626927152273,0.003948149474998206,1000.0,0.0,-79.2890918640788,0.7583849132958468,-4.517814034372124,0.7675389973796645,-74.77127782970669,0.00916044971264613,1000.0,0.0,352.81630182266235,71.09641695022583,0.759411096572876,0.0022907257080078125,0.7617018222808838
0.9854674339294434,-40.991300967148945,0.6282397992169167,11.379241630100186,0.6308023860455426,-52.37054259724913,0.0026337411888657063,1000.0,0.0,-79.00276558525783,1.061571157533179,-4.2314840728781755,1.0743016690194163,-74.77128151237967,0.012734150913209091,1000.0,0.0,422.8762137889862,69.07432389259338,0.7628029584884644,0.000849306583404541,0.7636522650718689
1.1376497745513916,-40.854233927872194,0.7498827240691391,11.509405189830654,0.7529930271045969,-52.36363911770286,0.003160942574580206,1000.0,0.0,-78.62333834864056,0.930943012963768,-3.851483669801117,0.9419423441101038,-74.77185467883945,0.011002591151391287,1000.0,0.0,532.1986691951752,108.18461775779724,0.7677783071994781,0.0004242360591888428,0.768202543258667
1.4582407474517822,-40.95091546238215,0.9268228352913815,11.404490267924963,0.9309350637549708,-52.35540573030711,0.00414386516646082,1000.0,0.0,-78.69166600546598,1.06935533756159,-3.925269922826326,1.0820481482896325,-74.76639608263967,0.012696155716794999,1000.0,0.0,625.6292290687561,91.97213435173035,0.7765796184539795,0.006961524486541748,0.7835411429405212
1.1277358531951904,-40.9509826606556,0.5371803740567779,11.3951815608845,0.5396538988514434,-52.34616422154009,0.0025256042780170836,1000.0,0.0,-78.56695759901018,1.7135974013534618,-3.8041609623393393,1.7340278764434265,-74.76279663667086,0.020432634354473945,1000.0,0.0,708.9299142360687,82.17271327972412,0.7641656398773193,0.0037303566932678223,0.7604352831840515
1.1309313774108887,-40.922239127429336,0.6939982850257843,11.414041151208686,0.6972351095510446,-52.336280278638036,0.003308058271872358,1000.0,0.0,-78.8742924487462,1.3852026491389946,-4.121056741016124,1.401539000669463,-74.75323570773007,0.016338147162266413,1000.0,0.0,788.5079517364502,78.44688296318054,0.775822639465332,3.606081008911133e-05,0.7757865786552429
